C0,C1,C2,C3,C4,GAP,STATUS,SIZE_OF_POOL
0.01,1,0.01,1,0.01,2.2768888026264055e-07,OptimizationStatus.OPTIMAL,10
0.01,1,0.01,1,0.1,7.40113225940422e-05,OptimizationStatus.OPTIMAL,10
0.01,1,0.01,1,1,0.39231034891787125,OptimizationStatus.FEASIBLE,10
0.01,1,0.1,0.01,0.01,1.3190871915197045e-05,OptimizationStatus.OPTIMAL,10
0.01,1,0.1,0.01,0.1,0.16699643846458123,OptimizationStatus.FEASIBLE,10
0.01,1,0.1,0.01,1,0.6720286650911032,OptimizationStatus.FEASIBLE,10
0.01,1,0.1,0.1,0.01,0.639600213121681,OptimizationStatus.FEASIBLE,10
0.01,1,0.1,0.1,0.1,0.22269378456337596,OptimizationStatus.FEASIBLE,10
0.01,1,0.1,0.1,1,0.3181095079541249,OptimizationStatus.FEASIBLE,10
0.01,1,0.1,1,0.01,6.168371504391092e-05,OptimizationStatus.OPTIMAL,10
0.01,1,0.1,1,0.1,0.0,OptimizationStatus.OPTIMAL,10
0.01,1,0.1,1,1,0.642676698586411,OptimizationStatus.FEASIBLE,10
0.01,1,1,0.01,0.01,6.474000414201337e-05,OptimizationStatus.OPTIMAL,10
0.01,1,1,0.01,0.1,0.0,OptimizationStatus.OPTIMAL,10
0.01,1,1,0.01,1,0.4852133830536562,OptimizationStatus.FEASIBLE,10
0.01,1,1,0.1,0.01,0.1982227058396806,OptimizationStatus.FEASIBLE,10
0.01,1,1,0.1,0.1,0.6448676097207104,OptimizationStatus.FEASIBLE,10
0.01,1,1,0.1,1,0.0,OptimizationStatus.OPTIMAL,10
0.01,1,1,1,0.01,2.2688084218148003e-05,OptimizationStatus.OPTIMAL,10
0.01,1,1,1,0.1,0.1940239586169336,OptimizationStatus.FEASIBLE,10
0.01,1,1,1,1,0.0,OptimizationStatus.OPTIMAL,10
0.1,0.01,0.01,0.01,0.01,0.9288362636048318,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.01,0.01,0.1,0.719995050730017,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.01,0.01,1,1.4894179894179889,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.01,0.1,0.01,0.6426757712893023,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.01,0.1,0.1,0.08607390672906144,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.01,0.1,1,0.3829383681958762,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.01,1,0.01,0.6392725429506724,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.01,1,0.1,0.0,OptimizationStatus.OPTIMAL,10
0.1,0.01,0.01,1,1,4.8838451559461165e-05,OptimizationStatus.OPTIMAL,10
0.1,0.01,0.1,0.01,0.01,1.0520763187429851,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.1,0.01,0.1,1.0662177328843994,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.1,0.01,1,1.459150326797385,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.1,0.1,0.01,0.644034440344403,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.1,0.1,0.1,0.4806139365741478,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.1,0.1,1,0.2682492270607339,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.1,1,0.01,0.6394119789712891,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.1,1,0.1,0.4760110688869674,OptimizationStatus.FEASIBLE,10
0.1,0.01,0.1,1,1,0.6425014980661324,OptimizationStatus.FEASIBLE,10
0.1,0.01,1,0.01,0.01,1.0316291751874573,OptimizationStatus.FEASIBLE,10
0.1,0.01,1,0.01,0.1,1.0392026578073088,OptimizationStatus.FEASIBLE,10
0.1,0.01,1,0.01,1,0.6642599277978337,OptimizationStatus.FEASIBLE,10
0.1,0.01,1,0.1,0.01,0.6570736733642449,OptimizationStatus.FEASIBLE,10
0.1,0.01,1,0.1,0.1,0.1463163317877373,OptimizationStatus.FEASIBLE,10
0.1,0.01,1,0.1,1,0.6764554353426065,OptimizationStatus.FEASIBLE,10
0.1,0.01,1,1,0.01,0.5051248307608984,OptimizationStatus.FEASIBLE,10
0.1,0.01,1,1,0.1,0.5290982940698614,OptimizationStatus.FEASIBLE,10
0.1,0.01,1,1,1,0.6428378012455994,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.01,0.01,0.01,0.7884607831585562,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.01,0.01,0.1,0.7930267651497102,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.01,0.01,1,0.91388326585695,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.01,0.1,0.01,0.6421146977990568,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.01,0.1,0.1,7.78709175018015e-05,OptimizationStatus.OPTIMAL,10
0.1,0.1,0.01,0.1,1,0.1978939521013878,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.01,1,0.01,2.6722548884516607e-07,OptimizationStatus.OPTIMAL,10
0.1,0.1,0.01,1,0.1,8.68654147356547e-05,OptimizationStatus.OPTIMAL,10
0.1,0.1,0.01,1,1,0.6418120855695167,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.1,0.01,0.01,0.7917649333075584,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.1,0.01,0.1,0.37947032669630776,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.1,0.01,1,0.5025839793281653,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.1,0.1,0.01,0.16824376680796682,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.1,0.1,0.1,0.6448334017047265,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.1,0.1,1,0.6887888020488363,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.1,1,0.01,0.6394029244733646,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.1,1,0.1,0.5283552107875343,OptimizationStatus.FEASIBLE,10
0.1,0.1,0.1,1,1,0.6619440085718779,OptimizationStatus.FEASIBLE,10
0.1,0.1,1,0.01,0.01,0.823177938279711,OptimizationStatus.FEASIBLE,10
0.1,0.1,1,0.01,0.1,0.8307320997586485,OptimizationStatus.FEASIBLE,10
0.1,0.1,1,0.01,1,0.7204658901830283,OptimizationStatus.FEASIBLE,10
0.1,0.1,1,0.1,0.01,0.6642556842556839,OptimizationStatus.FEASIBLE,10
0.1,0.1,1,0.1,0.1,0.40163355408388474,OptimizationStatus.FEASIBLE,10
0.1,0.1,1,0.1,1,0.671081677704194,OptimizationStatus.FEASIBLE,10
0.1,0.1,1,1,0.01,0.6597802308584098,OptimizationStatus.FEASIBLE,10
0.1,0.1,1,1,0.1,0.6409494917238804,OptimizationStatus.FEASIBLE,10
0.1,0.1,1,1,1,0.5605407419234654,OptimizationStatus.FEASIBLE,10
0.1,1,0.01,0.01,0.01,0.0,OptimizationStatus.OPTIMAL,10
0.1,1,0.01,0.01,0.1,0.6598496104221737,OptimizationStatus.FEASIBLE,10
0.1,1,0.01,0.01,1,8.042033025739746e-05,OptimizationStatus.OPTIMAL,10
0.1,1,0.01,0.1,0.01,9.213549825680238e-07,OptimizationStatus.OPTIMAL,10
0.1,1,0.01,0.1,0.1,4.904943667022043e-05,OptimizationStatus.OPTIMAL,10
0.1,1,0.01,0.1,1,0.33414039582637023,OptimizationStatus.FEASIBLE,10
0.1,1,0.01,1,0.01,0.30570954393896516,OptimizationStatus.FEASIBLE,10
0.1,1,0.01,1,0.1,0.6395200763912423,OptimizationStatus.FEASIBLE,10
0.1,1,0.01,1,1,2.282042153309829e-07,OptimizationStatus.OPTIMAL,10
0.1,1,0.1,0.01,0.01,0.37790130706623526,OptimizationStatus.FEASIBLE,10
0.1,1,0.1,0.01,0.1,0.46200729247065697,OptimizationStatus.FEASIBLE,10
0.1,1,0.1,0.01,1,0.1418261520367777,OptimizationStatus.FEASIBLE,10
0.1,1,0.1,0.1,0.01,0.16730341007379493,OptimizationStatus.FEASIBLE,10
0.1,1,0.1,0.1,0.1,0.30670420876350296,OptimizationStatus.FEASIBLE,10
0.1,1,0.1,0.1,1,0.5989994441356308,OptimizationStatus.FEASIBLE,10
0.1,1,0.1,1,0.01,2.2770847847916027e-06,OptimizationStatus.OPTIMAL,10
0.1,1,0.1,1,0.1,0.44804831063079753,OptimizationStatus.FEASIBLE,10
0.1,1,0.1,1,1,0.6434382915140578,OptimizationStatus.FEASIBLE,10
0.1,1,1,0.01,0.01,0.6673470450403539,OptimizationStatus.FEASIBLE,10
0.1,1,1,0.01,0.1,0.3829731840666492,OptimizationStatus.FEASIBLE,10
0.1,1,1,0.01,1,0.6752571963005297,OptimizationStatus.FEASIBLE,10
0.1,1,1,0.1,0.01,0.590423251589464,OptimizationStatus.FEASIBLE,10
0.1,1,1,0.1,0.1,0.6459218891916435,OptimizationStatus.FEASIBLE,10
